Year,City,Violations,Statistics,Value
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Percent unfounded,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Total cleared,1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Total cleared,7
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Total cleared,4
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Total cleared,2
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared by charge,1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared by charge,6
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared by charge,3
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared by charge,2
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared otherwise,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared otherwise,1
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared otherwise,1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],Cleared otherwise,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],"Total, persons charged",1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],"Total, persons charged",6
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],"Total, persons charged",5
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Homicide [110],"Total, persons charged",2
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Actual incidents,1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Actual incidents,4
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Actual incidents,1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Actual incidents,3
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Rate per 100,000 population",0.16
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Rate per 100,000 population",0.63
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Rate per 100,000 population",0.15
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Rate per 100,000 population",0.42
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage change in rate,
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage change in rate,
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage change in rate,
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage change in rate,
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),0.31
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),1.14
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),0.28
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percentage contribution to the Crime Severity Index (CSI),0.84
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Unfounded incidents,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Unfounded incidents,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Unfounded incidents,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Unfounded incidents,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percent unfounded,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percent unfounded,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percent unfounded,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Percent unfounded,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Total cleared,1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Total cleared,4
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Total cleared,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Total cleared,1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared by charge,1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared by charge,3
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared by charge,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared by charge,1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared otherwise,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared otherwise,1
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared otherwise,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]",Cleared otherwise,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Total, persons charged",1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Total, persons charged",3
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Total, persons charged",0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Murder, first degree [1110]","Total, persons charged",1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Actual incidents,1
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Actual incidents,1
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Actual incidents,1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Actual incidents,1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.16
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.16
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.15
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Rate per 100,000 population",0.14
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage change in rate,
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage change in rate,
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage change in rate,
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage change in rate,
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.03
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.03
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.03
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percentage contribution to the Crime Severity Index (CSI),0.03
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Unfounded incidents,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Unfounded incidents,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Unfounded incidents,2
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Unfounded incidents,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percent unfounded,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percent unfounded,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percent unfounded,66.67
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Percent unfounded,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Total cleared,2
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Total cleared,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Total cleared,1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Total cleared,1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared by charge,2
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared by charge,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared by charge,1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared by charge,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared otherwise,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared otherwise,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared otherwise,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],Cleared otherwise,1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Total, persons charged",5
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Total, persons charged",0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Total, persons charged",1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Criminal negligence causing death [1150],"Total, persons charged",0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Actual incidents,8
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Actual incidents,4
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Actual incidents,10
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Actual incidents,4
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Rate per 100,000 population",1.3
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Rate per 100,000 population",0.63
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Rate per 100,000 population",1.48
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Rate per 100,000 population",0.57
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage change in rate,12.92
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage change in rate,
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage change in rate,
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage change in rate,
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.58
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.27
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.67
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percentage contribution to the Crime Severity Index (CSI),0.27
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Unfounded incidents,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Unfounded incidents,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Unfounded incidents,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Unfounded incidents,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percent unfounded,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percent unfounded,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percent unfounded,0
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Percent unfounded,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Total cleared,7
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Total cleared,5
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Total cleared,10
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Total cleared,4
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared by charge,7
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared by charge,5
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared by charge,9
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared by charge,4
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared otherwise,0
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared otherwise,0
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared otherwise,1
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],Cleared otherwise,0
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Total, persons charged",6
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Total, persons charged",4
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Total, persons charged",6
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Attempted murder [1210],"Total, persons charged",6
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Actual incidents,481
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Actual incidents,554
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Actual incidents,519
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Actual incidents,559
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Rate per 100,000 population",78.3
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Rate per 100,000 population",86.82
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Rate per 100,000 population",77.02
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Rate per 100,000 population",79.08
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage change in rate,7.28
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage change in rate,10.88
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage change in rate,-11.29
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage change in rate,2.67
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),4.86
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.2
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),4.8
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percentage contribution to the Crime Severity Index (CSI),5.15
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Unfounded incidents,26
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Unfounded incidents,21
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Unfounded incidents,13
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Unfounded incidents,17
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percent unfounded,5.13
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percent unfounded,3.65
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percent unfounded,2.44
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Percent unfounded,2.95
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Total cleared,154
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Total cleared,183
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Total cleared,170
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Total cleared,193
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared by charge,119
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared by charge,132
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared by charge,135
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared by charge,149
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared otherwise,35
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared otherwise,51
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared otherwise,35
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]",Cleared otherwise,44
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Total, persons charged",97
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Total, persons charged",104
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Total, persons charged",110
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Sexual assault, level 1 [1330]","Total, persons charged",114
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Actual incidents,3289
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Actual incidents,3316
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Actual incidents,3576
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Actual incidents,3874
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Rate per 100,000 population",535.43
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Rate per 100,000 population",519.68
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Rate per 100,000 population",530.69
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Rate per 100,000 population",548.05
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage change in rate,1.11
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage change in rate,-2.94
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage change in rate,2.12
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage change in rate,3.27
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),3.2
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),2.99
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),3.18
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percentage contribution to the Crime Severity Index (CSI),3.43
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Unfounded incidents,37
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Unfounded incidents,42
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Unfounded incidents,37
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Unfounded incidents,39
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percent unfounded,1.11
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percent unfounded,1.25
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percent unfounded,1.02
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Percent unfounded,1
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Total cleared,1273
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Total cleared,1261
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Total cleared,1423
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Total cleared,1491
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared by charge,842
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared by charge,866
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared by charge,903
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared by charge,972
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared otherwise,431
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared otherwise,395
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared otherwise,520
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]",Cleared otherwise,519
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Total, persons charged",676
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Total, persons charged",657
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Total, persons charged",703
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]","Assault, level 1 [1430]","Total, persons charged",744
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Actual incidents,278
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Actual incidents,389
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Actual incidents,366
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Actual incidents,391
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],"Rate per 100,000 population",45.26
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],"Rate per 100,000 population",60.96
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],"Rate per 100,000 population",54.32
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],"Rate per 100,000 population",55.31
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage change in rate,-14.43
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage change in rate,34.71
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage change in rate,-10.91
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage change in rate,1.84
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),4.81
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),6.25
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),5.79
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percentage contribution to the Crime Severity Index (CSI),6.17
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Unfounded incidents,6
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Unfounded incidents,4
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Unfounded incidents,14
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Unfounded incidents,8
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percent unfounded,2.11
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percent unfounded,1.02
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percent unfounded,3.68
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Percent unfounded,2.01
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Total cleared,105
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Total cleared,155
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Total cleared,167
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Total cleared,201
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared by charge,100
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared by charge,144
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared by charge,155
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared by charge,197
2021,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared otherwise,5
2022,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared otherwise,11
2023,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared otherwise,12
2024,"Kitchener-Cambridge-Waterloo, Ontario [35541]",Robbery [1610],Cleared otherwise,4
